Time (s),Sample #,Channel A (V)
0.512160,256,0.020295
0.512163,257,-0.023652
0.512166,258,-0.023652
0.512170,259,-0.023652
0.512173,260,-0.023652
0.512176,261,-0.023652
0.512179,262,-0.023652
0.512182,263,0.020295
0.512185,264,0.020295
0.512189,265,0.020295
0.512192,266,0.020295
0.512195,267,-0.023652
0.512198,268,0.020295
0.512201,269,-0.023652
0.512205,270,0.020295
0.512208,271,-0.023652
0.512211,272,-0.023652
0.512214,273,-0.023652
0.512217,274,0.020295
0.512220,275,0.020295
0.512224,276,0.020295
0.512227,277,-0.023652
0.512230,278,0.020295
0.512233,279,-0.023652
0.512236,280,-0.023652
0.512239,281,0.020295
0.512243,282,-0.023652
0.512246,283,0.020295
0.512249,284,-0.023652
0.512252,285,0.020295
0.512255,286,-0.023652
0.512258,287,-0.023652
0.512262,288,-0.023652
0.512265,289,0.020295
0.512268,290,0.020295
0.512271,291,-0.023652
0.512274,292,0.020295
0.512277,293,0.020295
0.512280,294,0.020295
0.512283,295,0.020295
0.512286,296,0.020295
0.512289,297,0.020295
0.512292,298,0.020295
0.512295,299,0.020295
0.512298,300,-0.023652
0.512302,301,0.020295
0.512305,302,0.020295
0.512308,303,-0.023652
0.512311,304,0.020295
0.512314,305,0.020295
0.512317,306,-0.023652
0.512320,307,0.020295
0.512324,308,-0.023652
0.512327,309,0.020295
0.512330,310,-0.023652
0.512333,311,0.020295
0.512336,312,-0.023652
0.512339,313,0.020295
0.512343,314,0.020295
0.512346,315,0.020295
0.512349,316,-0.023652
0.512352,317,0.020295
0.512355,318,0.020295
0.512358,319,0.020295
0.512361,320,0.020295
0.512364,321,-0.023652
0.512367,322,0.020295
0.512370,323,-0.023652
0.512374,324,-0.023652
0.512377,325,-0.023652
0.512380,326,-0.023652
0.512383,327,0.020295
0.512387,328,-0.023652
0.512390,329,0.020295
0.512393,330,-0.023652
0.512396,331,0.020295
0.512399,332,0.020295
0.512402,333,-0.023652
0.512406,334,0.020295
0.512409,335,-0.023652
0.512412,336,0.020295
0.512415,337,0.020295
0.512418,338,0.020295
0.512421,339,-0.023652
0.512424,340,0.020295
0.512427,341,-0.023652
0.512431,342,0.020295
0.512434,343,0.020295
0.512437,344,0.020295
0.512440,345,-0.023652
0.512443,346,-0.023652
0.512446,347,-0.023652
0.512450,348,0.020295
0.512453,349,-0.023652
0.512456,350,-0.023652
0.512459,351,-0.023652
0.512462,352,-0.023652
0.512465,353,0.020295
0.512468,354,0.020295
0.512472,355,-0.023652
0.512475,356,-0.023652
0.512478,357,0.020295
0.512481,358,0.020295
0.512484,359,-0.023652
0.512487,360,-0.023652
0.512490,361,0.020295
0.512494,362,-0.023652
0.512497,363,0.020295
0.512500,364,0.020295
0.512503,365,0.020295
0.512506,366,-0.023652
0.512510,367,0.020295
0.512513,368,0.020295
0.512516,369,-0.023652
0.512519,370,-0.023652
0.512809,371,-0.023652
0.512812,372,-0.023652
0.512816,373,-0.023652
0.512819,374,-0.023652
0.512822,375,0.020295
0.512825,376,0.020295
0.512828,377,0.020295
0.512831,378,-0.023652
0.512835,379,0.020295
0.512838,380,0.020295
0.512841,381,-0.023652
0.512844,382,0.020295
0.512847,383,0.020295
0.512850,384,0.020295
0.512854,385,0.020295
0.575695,386,-0.023652
0.575720,387,-0.023652
0.575723,388,-0.023652
0.575724,389,0.020295
0.575726,390,-0.023652
0.575728,391,-0.023652
0.575730,392,0.020295
0.575731,393,-0.023652
0.575733,394,0.020295
0.575735,395,0.020295
0.575736,396,0.020295
0.575738,397,-0.023652
0.575740,398,0.020295
0.575741,399,-0.023652
0.575743,400,0.020295
0.575745,401,-0.023652
0.575746,402,-0.023652
0.575748,403,0.020295
0.575750,404,-0.023652
0.575752,405,-0.023652
0.575753,406,-0.023652
0.575755,407,-0.023652
0.575757,408,0.020295
0.575759,409,-0.023652
0.575761,410,-0.023652
0.575762,411,-0.023652
0.575764,412,-0.023652
0.575766,413,-0.023652
0.575768,414,-0.023652
0.575770,415,-0.023652
0.575771,416,-0.023652
0.575773,417,-0.023652
0.575774,418,0.020295
0.575776,419,0.020295
0.575778,420,0.020295
0.575779,421,0.020295
0.575780,422,-0.023652
0.575782,423,0.020295
0.575783,424,-0.023652
0.575785,425,0.020295
0.575786,426,0.020295
0.575788,427,0.020295
0.575789,428,0.020295
0.575790,429,0.020295
0.575791,430,-0.023652
0.575792,431,0.020295
0.575793,432,-0.023652
0.575794,433,0.020295
0.575795,434,-0.023652
0.575797,435,0.020295
0.575797,436,0.020295
0.575799,437,0.020295
0.575800,438,0.020295
0.575801,439,0.020295
0.575802,440,0.020295
0.575803,441,-0.023652
0.575805,442,0.020295
0.575806,443,0.020295
0.575807,444,0.020295
0.575808,445,0.020295
0.575809,446,-0.023652
0.575810,447,-0.023652
0.575811,448,0.020295
0.575812,449,0.020295
0.575813,450,-0.023652
0.575814,451,0.020295
0.575815,452,0.020295
0.575816,453,0.020295
0.575817,454,-0.023652
0.575818,455,-0.023652
0.575819,456,0.020295
0.575820,457,0.020295
0.575821,458,-0.023652
0.575823,459,0.020295
0.575824,460,-0.023652
0.575825,461,0.020295
0.575826,462,0.020295
0.575827,463,0.020295
0.575828,464,0.020295
0.575829,465,0.020295
0.575830,466,0.020295
0.575831,467,-0.023652
0.575832,468,0.020295
0.575833,469,-0.023652
0.575834,470,-0.023652
0.575835,471,-0.023652
0.575836,472,0.020295
0.575837,473,0.020295
0.575839,474,-0.023652
0.575840,475,0.020295
0.575841,476,-0.023652
0.575842,477,0.020295
0.575843,478,0.020295
0.575844,479,-0.023652
0.575845,480,-0.023652
0.575846,481,0.020295
0.575847,482,0.020295
0.575848,483,0.020295
0.575849,484,0.020295
0.575850,485,-0.023652
0.639021,486,-0.023652
0.639053,487,0.020295
0.639057,488,0.020295
0.639060,489,-0.023652
0.639063,490,-0.023652
0.639065,491,-0.023652
0.639068,492,0.020295
0.639071,493,-0.023652
0.639073,494,-0.023652
0.639076,495,-0.023652
0.639078,496,0.020295
0.639081,497,0.020295
0.639083,498,0.020295
0.639086,499,-0.023652
0.639088,500,-0.023652
0.639090,501,-0.023652
0.639093,502,-0.023652
0.639095,503,-0.023652
0.639098,504,0.020295
0.639100,505,-0.023652
0.639102,506,0.020295
0.639105,507,-0.023652
0.639107,508,0.020295
0.639110,509,-0.023652
0.639112,510,-0.023652
0.639115,511,-0.023652
0.639117,512,-0.023652
0.639120,513,0.020295
0.639122,514,-0.023652
0.639125,515,-0.023652
0.639128,516,-0.023652
0.639130,517,0.020295
0.639132,518,0.020295
0.639135,519,0.020295
0.639137,520,-0.023652
0.639139,521,0.020295
0.639142,522,0.020295
0.639144,523,0.020295
0.639146,524,-0.023652
0.639149,525,-0.023652
0.639151,526,0.020295
0.639154,527,0.020295
0.639156,528,0.020295
0.639158,529,0.020295
0.639161,530,-0.023652
0.639163,531,-0.023652
0.639165,532,-0.023652
0.639168,533,0.020295
0.639170,534,0.020295
0.639173,535,0.020295
0.697804,536,-0.023652
0.697822,537,0.020295
0.697826,538,0.020295
0.697829,539,-0.023652
0.697832,540,0.020295
0.697835,541,-0.023652
0.697837,542,-0.023652
0.697840,543,0.020295
0.697842,544,0.020295
0.697845,545,0.020295
0.697847,546,0.020295
0.697850,547,0.020295
0.697852,548,-0.023652
0.697855,549,0.020295
0.697857,550,0.020295
0.697860,551,-0.023652
0.697862,552,-0.023652
0.697865,553,0.020295
0.697867,554,-0.023652
0.697870,555,0.020295
0.697872,556,0.020295
0.697874,557,0.020295
0.697876,558,0.020295
0.697879,559,-0.023652
0.697881,560,0.020295
0.697883,561,-0.023652
0.697886,562,0.020295
0.697888,563,0.020295
0.697890,564,0.020295
0.697893,565,-0.023652
0.697895,566,-0.023652
0.697898,567,-0.023652
0.697900,568,0.020295
0.697902,569,-0.023652
0.697905,570,0.020295
0.697907,571,-0.023652
0.697909,572,0.020295
0.697912,573,-0.023652
0.697914,574,-0.023652
0.697916,575,-0.023652
0.697919,576,0.020295
0.697921,577,0.020295
0.697923,578,0.020295
0.697926,579,0.020295
0.697928,580,0.020295
0.697930,581,-0.023652
0.697933,582,0.020295
0.697935,583,0.020295
0.697937,584,0.020295
0.697940,585,0.020295
0.764235,586,0.020295
0.764292,587,-0.023652
0.764297,588,0.020295
0.764300,589,0.020295
0.764303,590,-0.023652
0.764306,591,0.020295
0.764309,592,0.020295
0.764311,593,-0.023652
0.764314,594,-0.023652
0.764316,595,-0.023652
0.764319,596,0.020295
0.764321,597,-0.023652
0.764324,598,0.020295
0.764326,599,-0.023652
0.764328,600,0.020295
0.764331,601,0.020295
0.764333,602,0.020295
0.764336,603,0.020295
0.764338,604,0.020295
0.764340,605,0.020295
0.764343,606,-0.023652
0.764346,607,-0.023652
0.764348,608,-0.023652
0.764351,609,0.020295
0.764353,610,0.020295
0.764355,611,-0.023652
0.764358,612,0.020295
0.764360,613,0.020295
0.764363,614,-0.023652
0.764366,615,0.020295
0.764368,616,0.020295
0.764371,617,0.020295
0.764373,618,0.020295
0.764376,619,0.020295
0.764378,620,0.020295
0.764380,621,-0.023652
0.764383,622,0.020295
0.764385,623,0.020295
0.764387,624,0.020295
0.764389,625,0.020295
0.764392,626,-0.023652
0.764394,627,-0.023652
0.764396,628,0.020295
0.764399,629,-0.023652
0.764401,630,0.020295
0.764404,631,-0.023652
0.764406,632,-0.023652
0.764409,633,0.020295
0.764411,634,0.020295
0.764413,635,-0.023652
0.764416,636,-0.023652
0.764418,637,-0.023652
0.764421,638,0.020295
0.764423,639,0.020295
0.764425,640,-0.023652
0.764428,641,0.020295
0.764430,642,0.020295
0.764433,643,-0.023652
0.764435,644,0.020295
0.764438,645,0.020295
0.764440,646,-0.023652
0.764443,647,0.020295
0.764446,648,0.020295
0.764448,649,-0.023652
0.764450,650,-0.023652
0.764453,651,0.020295
0.764455,652,0.020295
0.764457,653,0.020295
0.764459,654,0.020295
0.764462,655,-0.023652
0.764464,656,0.020295
0.764466,657,0.020295
0.764469,658,0.020295
0.764471,659,-0.023652
0.764473,660,-0.023652
0.764475,661,0.020295
0.764478,662,-0.023652
0.764480,663,0.020295
0.764482,664,-0.023652
0.764485,665,-0.023652
0.764488,666,-0.023652
0.764490,667,-0.023652
0.764492,668,0.020295
0.764495,669,0.020295
0.764497,670,-0.023652
0.764499,671,0.020295
0.764502,672,-0.023652
0.764504,673,-0.023652
0.764507,674,-0.023652
0.764509,675,-0.023652
0.764512,676,0.020295
0.764514,677,0.020295
0.764516,678,0.020295
0.764518,679,-0.023652
0.764521,680,0.020295
0.764523,681,0.020295
0.764525,682,0.020295
0.764528,683,-0.023652
0.764530,684,0.020295
0.764533,685,0.020295
0.831060,686,-0.023652
0.831116,687,-0.023652
0.831121,688,0.020295
0.831124,689,-0.023652
0.831128,690,-0.023652
0.831130,691,0.020295
0.831133,692,-0.023652
0.831136,693,-0.023652
0.831138,694,0.020295
0.831141,695,-0.023652
0.831144,696,0.020295
0.831146,697,0.020295
0.831148,698,0.020295
0.831151,699,0.020295
0.831153,700,0.020295
0.831155,701,0.020295
0.831158,702,0.020295
0.831160,703,0.020295
0.831163,704,-0.023652
0.831165,705,0.020295
0.831168,706,0.020295
0.831170,707,0.020295
0.831173,708,-0.023652
0.831175,709,0.020295
0.831178,710,-0.023652
0.831181,711,0.020295
0.831183,712,0.020295
0.831186,713,-0.023652
0.831188,714,0.020295
0.831190,715,0.020295
0.831193,716,-0.023652
0.831195,717,0.020295
0.831198,718,0.020295
0.831200,719,0.020295
0.831202,720,0.020295
0.831205,721,0.020295
0.831208,722,-0.023652
0.831210,723,-0.023652
0.831213,724,0.020295
0.831215,725,-0.023652
0.831218,726,-0.023652
0.831220,727,-0.023652
0.831223,728,0.020295
0.831225,729,-0.023652
0.831228,730,0.020295
0.831230,731,-0.023652
0.831233,732,0.020295
